product_id,exchange,name,price_tick,multiple,limit_pct,margin,oc_by_money,cc_by_money,ctc_by_money,oc_by_volume,cc_by_volume,ctc_by_volume
ag,SHFE,白银,1,15,10,12,0.00005,0.00005,0.00005,0.01,0.01,0.01
al,SHFE,铝,5,5,6,12,0,0,0,3.01,3.01,3.01
au,SHFE,黄金,0.02,1000,6,10,0,0,0,10.01,10.01,0
bu,SHFE,石油沥青,1,10,8,15,0.0001,0.0001,0.0001,0.01,0.01,0.01
cu,SHFE,铜,10,5,7,12,0.00005,0.00005,0.0001,0.01,0.01,0.01
fu,SHFE,燃料油,1,10,8,15,0.00001,0.00001,0,0.01,0.01,0
hc,SHFE,热轧卷板,1,10,6,13,0.0001,0.0001,0.0001,0.01,0.01,0.01
ni,SHFE,镍,10,1,6,19,0,0,0,3.01,3.01,60.01
pb,SHFE,铅,5,5,6,14,0.00004,0.00004,0,0.01,0.01,0
rb,SHFE,螺纹钢,1,10,6,13,0.0001,0.0001,0.0001,0.01,0.01,0.01
ru,SHFE,天然橡胶,5,10,8,10,0,0,0,3.01,3.01,0
sn,SHFE,锡,10,1,7,14,0,0,0,3.01,3.01,3.01
sp,SHFE,漂针浆,2,10,6,15,0.00005,0.00005,0,0.01,0.01,0
ss,SHFE,不锈钢,5,5,6,14,0,0,0,2.01,2.01,0
wr,SHFE,线材,1,10,6,13,0.00004,0.00004,0,0.01,0.01,0
zn,SHFE,锌,5,5,6,14,0,0,0,3.01,3.01,0
bc,INE,国际铜,10,5,7,12,0.00001,0.00001,0,0.01,0.01,0
lu,INE,低硫燃料油,1,10,8,15,0.00001,0.00001,0.00001,0.01,0.01,0.01
nr,INE,20号胶,5,10,8,10,0.00002,0.00002,0,0.01,0.01,0
sc,INE,原油,0.1,1000,8,15,0,0,0,20.01,20.01,0
a,DCE,黄大豆1号,1,10,8,12,0,0,0,2.01,2.01,2.01
b,DCE,黄大豆2号,1,10,8,9,0,0,0,1.01,1.01,1.01
bb,DCE,胶合板,0.05,500,5,40,0.0001,0.0001,0.0001,0.01,0.01,0.01
c,DCE,黄玉米,1,10,7,12,0,0,0,1.21,1.21,1.21
cs,DCE,玉米淀粉,1,10,6,9,0,0,0,1.51,1.51,1.51
eb,DCE,苯乙烯,1,5,11,12,0,0,0,3.01,3.01,3.01
eg,DCE,乙二醇,1,10,9,12,0,0,0,3.01,3.01,3.01
fb,DCE,纤维板,0.5,10,5,10,0.0001,0.0001,0.0001,0.01,0.01,0.01
i,DCE,铁矿石,0.5,100,10,13,0.0001,0.0001,0.0001,0.01,0.01,0.01
j,DCE,冶金焦炭,0.5,100,10,20,0.00014,0.0001,0.00014,0.01,0.01,0.01
jd,DCE,鸡蛋,1,10,8,9,0.00015,0.00015,0.00015,0.01,0.01,0.01
jm,DCE,焦煤,0.5,60,10,20,0.00014,0.0001,0.00014,0.01,0.01,0.01
l,DCE,线型低密度聚乙烯,1,5,7,11,0,0,0,1.01,1.01,1.01
lh,DCE,生猪,5,16,8,15,0.0004,0.0002,0.0004,0.01,0.01,0.01
m,DCE,豆粕,1,10,7,10,0,0,0,1.51,1.51,1.51
p,DCE,棕榈油,2,10,8,12,0,0,0,2.51,2.51,2.51
pg,DCE,液化石油气,1,20,10,13,0,0,0,6.01,6.01,6.01
pp,DCE,聚丙烯,1,5,7,11,0,0,0,1.01,1.01,1.01
rr,DCE,粳米,1,10,5,6,0,0,0,1.01,1.01,1.01
v,DCE,聚氯乙烯,1,5,7,11,0,0,0,1.01,1.01,1.01
y,DCE,豆油,2,10,7,9,0,0,0,2.51,2.51,2.51
AP,CZCE,苹果,1,10,6,10,0,0,0,5.01,5.01,20.01
CF,CZCE,一号棉花,5,5,6,9,0,0,0,4.31,4.31,4.31
CJ,CZCE,红枣,5,5,5,12,0,0,0,3.01,3.01,3.01
CY,CZCE,棉纱,5,5,6,10,0,0,0,4.01,4.01,0
FG,CZCE,玻璃,1,20,6,9,0,0,0,6.01,6.01,6.01
JR,CZCE,粳稻,1,20,5,15,0,0,0,3.01,3.01,3.01
LR,CZCE,晚籼稻,1,20,5,15,0,0,0,3.01,3.01,3.01
MA,CZCE,甲醇N,1,10,6,8,0,0,0,2.01,2.01,6.01
OI,CZCE,菜籽油,1,10,5,9,0,0,0,2.01,2.01,2.01
PF,CZCE,短纤,2,5,6,8,0,0,0,3.01,3.01,3.01
PK,CZCE,花生仁,2,5,7,8,0,0,0,4.01,4.01,4.01
PM,CZCE,普通小麦,1,50,5,15,0,0,0,30.01,30.01,30.01
